date,nav,ret,drawdown,nav_csi300
2019-01-02,1.0,0.0,0.0,0.9862700228832951
2019-01-03,1.010427035600987,0.010427035600986956,0.0,0.9862700228832951
2019-01-04,1.0051423753729485,-0.0052301255230123855,-0.0052301255230124966,1.0114416475972539
2019-01-07,1.0009146471905177,-0.004206098843322792,-0.009414225941422383,1.0156914024190913
2019-01-08,0.9963346083262175,-0.004575853572685751,-0.013947001394699954,1.0156914024190913
2019-01-09,0.9924591908256558,-0.0038896746817538297,-0.01778242677824249,1.0232101994115723
2019-01-10,0.9945730549168712,0.0021299254526090383,-0.0156903765690376,1.0241909120627655
2019-01-11,0.9882314626432249,-0.006376195536663021,-0.021966527196652597,1.0317097090552467
2019-01-14,0.9889360840069634,0.0007130124777183777,-0.02126917712691756,1.022883295194508
2019-01-15,0.986822219915748,-0.002137513359458443,-0.023361227336122448,1.0421706440013077
2019-01-16,0.9875268412794865,0.000714030703320212,-0.02266387726638741,1.022883295194508
2019-01-17,0.9865096904104104,-0.0010299982001079613,-0.02367053171370359,1.0173259235044132
2019-01-18,0.9865096904104104,0.0,-0.02367053171370359,1.0349787512258908
2019-01-21,0.9864209072017697,-8.99973000809684e-05,-0.02375839872983887,1.0405361229159857
2019-01-22,0.9864209072017697,0.0,-0.02375839872983887,1.0274599542334097
2019-01-23,0.9864406368036898,2.000120007195072e-05,-0.0237388727262533,1.0248447204968945
2019-01-24,0.9864406368036898,0.0,-0.0237388727262533,1.03269042170644
2019-01-25,0.9865096904104105,7.000280011215665e-05,-0.02367053171370348,1.0405361229159857
2019-01-28,0.9864110424008097,-9.99970000900019e-05,-0.023768161731631543,1.039228506047728
2019-01-29,0.98643077200273,2.000140009816853e-05,-0.023748635728045864,1.0438051650866298
2019-01-30,0.98643077200273,0.0,-0.023748635728045864,1.0369401765282773
2019-01-31,0.9837088894854726,-0.0027593244194229474,-0.02644242995697632,1.0467473030402092
2019-02-01,0.9889100291901894,0.005287275290799975,-0.02129496307271661,1.0640732265446224
2019-02-11,0.9847491174264159,-0.0042075736325385416,-0.025412936580124557,1.0787839163125206
2019-02-12,0.9885632865432084,0.0038732394366196576,-0.021638127531667273,1.0866296175220662
2019-02-13,0.9871763159552838,-0.00140301648544372,-0.02301078536746992,1.10918600849951
2019-02-14,0.9857893453673593,-0.0014049877063575522,-0.02438344320327257,1.1104936253677677
2019-02-15,0.9920307130130198,0.006331340133661767,-0.01820648294216054,1.0921869892121614
2019-02-18,0.9972318527177366,0.005242922055225252,-0.01305901605790083,1.1238966982674081
2019-02-19,0.997925338011699,0.0006954102920724292,-0.012372687139999283,1.1209545603138285
2019-02-20,1.0048601909513215,0.006949270326615631,-0.005509397960986262,1.1238966982674081
2019-02-21,0.998618823305661,-0.006211180124223725,-0.011686358222098292,1.1225890813991506
2019-02-22,0.9916839703660384,-0.00694444444444442,-0.018549647401111424,1.1526642693690752
2019-02-25,0.9909904850720762,-0.0006993006993005757,-0.01923597631901275,1.234063419418111
2019-02-26,0.9902969997781139,-0.0006997900629811538,-0.019922305236914073,1.2062765609676371
2019-02-27,0.9892567718371706,-0.0010504201680671121,-0.02095179861376595,1.199738476626349
