mom_wins,top_k,rebal_n,abs_thresh,ma_win,trail_stop,start,end,calmar,ann,mdd,sharpe,total,years,dist
"(60,)",1,10,0.0,20,0.1,2024-12-01,2026-01-31,5.685706533011888,0.6553307454736843,0.1152593335003761,1.9830857729323856,0.8016258369600182,1.1680327868852458,0.11429346698811216
"(60,)",1,10,0.03,20,0.1,2024-12-01,2026-01-31,5.685706533011888,0.6553307454736843,0.1152593335003761,1.9830857729323856,0.8016258369600182,1.1680327868852458,0.11429346698811216
"(20, 60)",1,10,0.0,60,0.08,2024-12-01,2026-01-31,6.269875282848518,0.7226616462316022,0.1152593335003761,2.015008226820514,0.8875102827734551,1.1680327868852458,0.469875282848518
"(20, 60)",1,10,0.03,60,0.08,2024-12-01,2026-01-31,6.269875282848518,0.7226616462316022,0.1152593335003761,2.015008226820514,0.8875102827734551,1.1680327868852458,0.469875282848518
"(20, 60)",1,10,0.0,20,0.08,2024-12-01,2026-01-31,6.275434267874753,0.7233023711406612,0.11525933350037554,2.025939227113516,0.8883303124188184,1.1680327868852458,0.4754342678747534
"(20, 60)",1,10,0.03,20,0.08,2024-12-01,2026-01-31,6.275434267874753,0.7233023711406612,0.11525933350037554,2.025939227113516,0.8883303124188184,1.1680327868852458,0.4754342678747534
"(20, 60)",1,10,0.0,20,0.1,2024-12-01,2025-12-31,5.288237797677835,0.6095187639518411,0.11525933350037554,1.8889003509101565,0.6768161869586404,1.0860655737704918,0.5117622023221644
"(20, 60)",1,10,0.03,20,0.1,2024-12-01,2025-12-31,5.288237797677835,0.6095187639518411,0.11525933350037554,1.8889003509101565,0.6768161869586404,1.0860655737704918,0.5117622023221644
"(20, 60)",1,10,0.0,60,0.1,2024-12-01,2025-12-31,5.282654086385708,0.6088751891098549,0.1152593335003761,1.8764604544227217,0.676088009809714,1.0860655737704918,0.5173459136142915
"(20, 60)",1,10,0.03,60,0.1,2024-12-01,2025-12-31,5.282654086385708,0.6088751891098549,0.1152593335003761,1.8764604544227217,0.676088009809714,1.0860655737704918,0.5173459136142915
"(60,)",1,10,0.0,60,0.1,2024-12-01,2026-01-31,6.331029720401041,0.7297102659444943,0.11525933350037576,2.118773952277098,0.8965342510160936,1.1680327868852458,0.5310297204010412
"(60,)",1,10,0.03,60,0.1,2024-12-01,2026-01-31,6.331029720401041,0.7297102659444943,0.11525933350037576,2.118773952277098,0.8965342510160936,1.1680327868852458,0.5310297204010412
"(60, 120)",1,20,0.0,60,0.06,2025-01-01,2026-01-31,5.158636851745354,0.5182398500598147,0.10046061875521928,1.7748514396543549,0.5684156032595262,1.0778688524590163,0.641363148254646
"(60, 120)",1,20,0.03,60,0.06,2025-01-01,2026-01-31,5.158636851745354,0.5182398500598147,0.10046061875521928,1.7748514396543549,0.5684156032595262,1.0778688524590163,0.641363148254646
"(60, 120)",1,20,0.0,20,0.06,2025-01-01,2026-01-31,4.978572556234066,0.500150479517028,0.10046061875521928,1.7349761602481413,0.5482826312382871,1.0778688524590163,0.8214274437659341
"(60, 120)",1,20,0.03,20,0.06,2025-01-01,2026-01-31,4.978572556234066,0.500150479517028,0.10046061875521928,1.7349761602481413,0.5482826312382871,1.0778688524590163,0.8214274437659341
"(60, 120)",1,10,0.0,20,0.06,2025-01-01,2026-01-31,4.890424825637839,0.6344454292266346,0.12973217089455746,1.9185333297056857,0.6981863085250031,1.0778688524590163,0.9095751743621605
"(60, 120)",1,10,0.0,60,0.06,2025-01-01,2026-01-31,4.890424825637839,0.6344454292266346,0.12973217089455746,1.9185333297056857,0.6981863085250031,1.0778688524590163,0.9095751743621605
"(60, 120)",1,10,0.03,20,0.06,2025-01-01,2026-01-31,4.890424825637839,0.6344454292266346,0.12973217089455746,1.9185333297056857,0.6981863085250031,1.0778688524590163,0.9095751743621605
"(60, 120)",1,10,0.03,60,0.06,2025-01-01,2026-01-31,4.890424825637839,0.6344454292266346,0.12973217089455746,1.9185333297056857,0.6981863085250031,1.0778688524590163,0.9095751743621605
"(20, 60)",1,10,0.0,20,0.1,2024-12-01,2026-01-31,4.805828007203612,0.5539165330277263,0.11525933350037554,1.6731419152108198,0.6733770761778977,1.1680327868852458,0.9941719927963879
"(20, 60)",1,10,0.03,20,0.1,2024-12-01,2026-01-31,4.805828007203612,0.5539165330277263,0.11525933350037554,1.6731419152108198,0.6733770761778977,1.1680327868852458,0.9941719927963879
"(20, 60)",1,10,0.0,60,0.1,2024-12-01,2026-01-31,4.800815422712478,0.5533387858801666,0.1152593335003761,1.6641043708142809,0.6726503925032714,1.1680327868852458,0.9991845772875214
"(20, 60)",1,10,0.03,60,0.1,2024-12-01,2026-01-31,4.800815422712478,0.5533387858801666,0.1152593335003761,1.6641043708142809,0.6726503925032714,1.1680327868852458,0.9991845772875214
"(20, 60)",1,10,0.0,20,0.08,2024-12-01,2025-12-31,4.742907217895709,0.5466643247887799,0.11525933350037554,1.7720506930580255,0.6058188423557382,1.0860655737704918,1.0570927821042906
"(20, 60)",1,10,0.03,20,0.08,2024-12-01,2025-12-31,4.742907217895709,0.5466643247887799,0.11525933350037554,1.7720506930580255,0.6058188423557382,1.0860655737704918,1.0570927821042906
"(20, 60)",1,10,0.0,60,0.08,2024-12-01,2025-12-31,4.737541560005358,0.5460458826365495,0.1152593335003761,1.7599202674417391,0.6051214966386491,1.0860655737704918,1.062458439994642
"(20, 60)",1,10,0.03,60,0.08,2024-12-01,2025-12-31,4.737541560005358,0.5460458826365495,0.1152593335003761,1.7599202674417391,0.6051214966386491,1.0860655737704918,1.062458439994642
"(60,)",1,20,0.0,60,0.08,2025-01-01,2026-01-31,4.546822849998382,0.524063771235094,0.1152593335003761,1.863373965170575,0.5749014541423747,1.0778688524590163,1.2531771500016182
"(60,)",1,20,0.03,60,0.08,2025-01-01,2026-01-31,4.546822849998382,0.524063771235094,0.1152593335003761,1.863373965170575,0.5749014541423747,1.0778688524590163,1.2531771500016182
"(60,)",1,10,0.0,60,0.1,2024-12-01,2025-12-31,4.49695405613001,0.5183159272913562,0.11525933350037576,1.730588125320076,0.573878436341982,1.0860655737704918,1.3030459438699902
"(60,)",1,10,0.03,60,0.1,2024-12-01,2025-12-31,4.49695405613001,0.5183159272913562,0.11525933350037576,1.730588125320076,0.573878436341982,1.0860655737704918,1.3030459438699902
"(20, 60)",1,20,0.0,20,0.08,2025-01-01,2026-01-31,4.325895849033958,0.6302230057006046,0.14568612553197358,1.8895029408848745,0.6934580751380934,1.0778688524590163,1.474104150966042
"(20, 60)",1,20,0.0,60,0.08,2025-01-01,2026-01-31,4.325895849033958,0.6302230057006046,0.14568612553197358,1.8895029408848745,0.6934580751380934,1.0778688524590163,1.474104150966042
"(20, 60)",1,20,0.03,20,0.08,2025-01-01,2026-01-31,4.325895849033958,0.6302230057006046,0.14568612553197358,1.8895029408848745,0.6934580751380934,1.0778688524590163,1.474104150966042
"(20, 60)",1,20,0.03,60,0.08,2025-01-01,2026-01-31,4.325895849033958,0.6302230057006046,0.14568612553197358,1.8895029408848745,0.6934580751380934,1.0778688524590163,1.474104150966042
"(60,)",1,10,0.0,20,0.1,2024-12-01,2025-12-31,3.888748766425018,0.4482145909685573,0.1152593335003761,1.5715676316832925,0.4951167128296101,1.0860655737704918,1.9112512335749816
"(60,)",1,10,0.03,20,0.1,2024-12-01,2025-12-31,3.888748766425018,0.4482145909685573,0.1152593335003761,1.5715676316832925,0.4951167128296101,1.0860655737704918,1.9112512335749816
"(20, 60)",1,20,0.0,20,0.1,2025-01-01,2026-01-31,3.7659119657147797,0.6147176700539303,0.16323208711472237,1.907642731911913,0.6761035314525925,1.0778688524590163,2.03408803428522
"(20, 60)",1,20,0.0,60,0.1,2025-01-01,2026-01-31,3.7659119657147797,0.6147176700539303,0.16323208711472237,1.907642731911913,0.6761035314525925,1.0778688524590163,2.03408803428522
"(20, 60)",1,20,0.03,20,0.1,2025-01-01,2026-01-31,3.7659119657147797,0.6147176700539303,0.16323208711472237,1.907642731911913,0.6761035314525925,1.0778688524590163,2.03408803428522
"(20, 60)",1,20,0.03,60,0.1,2025-01-01,2026-01-31,3.7659119657147797,0.6147176700539303,0.16323208711472237,1.907642731911913,0.6761035314525925,1.0778688524590163,2.03408803428522
"(60, 120)",1,10,0.0,20,0.08,2025-01-01,2026-01-31,3.69157835479806,0.5448100771819853,0.14758188092469404,1.7059184372923806,0.5980213621222328,1.0778688524590163,2.1084216452019398
"(60, 120)",1,10,0.0,60,0.08,2025-01-01,2026-01-31,3.69157835479806,0.5448100771819853,0.14758188092469404,1.7059184372923806,0.5980213621222328,1.0778688524590163,2.1084216452019398
"(60, 120)",1,10,0.03,20,0.08,2025-01-01,2026-01-31,3.69157835479806,0.5448100771819853,0.14758188092469404,1.7059184372923806,0.5980213621222328,1.0778688524590163,2.1084216452019398
"(60, 120)",1,10,0.03,60,0.08,2025-01-01,2026-01-31,3.69157835479806,0.5448100771819853,0.14758188092469404,1.7059184372923806,0.5980213621222328,1.0778688524590163,2.1084216452019398
"(60, 120)",1,10,0.0,20,0.06,2025-01-01,2025-12-31,3.596165517180409,0.46653835943996347,0.12973217089455746,1.6564734209794865,0.46423875227903566,0.9959016393442623,2.2038344828195906
"(60, 120)",1,10,0.0,60,0.06,2025-01-01,2025-12-31,3.596165517180409,0.46653835943996347,0.12973217089455746,1.6564734209794865,0.46423875227903566,0.9959016393442623,2.2038344828195906
"(60, 120)",1,10,0.03,20,0.06,2025-01-01,2025-12-31,3.596165517180409,0.46653835943996347,0.12973217089455746,1.6564734209794865,0.46423875227903566,0.9959016393442623,2.2038344828195906
"(60, 120)",1,10,0.03,60,0.06,2025-01-01,2025-12-31,3.596165517180409,0.46653835943996347,0.12973217089455746,1.6564734209794865,0.46423875227903566,0.9959016393442623,2.2038344828195906
"(60, 120)",1,20,0.0,60,0.06,2025-01-01,2025-12-31,3.5240328688908447,0.35402652252250477,0.10046061875521928,1.473841417544491,0.35234567281749274,0.9959016393442623,2.275967131109155
"(60, 120)",1,20,0.03,60,0.06,2025-01-01,2025-12-31,3.5240328688908447,0.35402652252250477,0.10046061875521928,1.473841417544491,0.35234567281749274,0.9959016393442623,2.275967131109155
"(20, 60)",1,20,0.0,20,0.08,2025-01-01,2025-12-31,3.498077354651832,0.5096213366103608,0.14568612553197358,1.7498509578075683,0.5070753265279202,0.9959016393442623,2.301922645348168
"(20, 60)",1,20,0.0,60,0.08,2025-01-01,2025-12-31,3.498077354651832,0.5096213366103608,0.14568612553197358,1.7498509578075683,0.5070753265279202,0.9959016393442623,2.301922645348168
"(20, 60)",1,20,0.03,20,0.08,2025-01-01,2025-12-31,3.498077354651832,0.5096213366103608,0.14568612553197358,1.7498509578075683,0.5070753265279202,0.9959016393442623,2.301922645348168
"(20, 60)",1,20,0.03,60,0.08,2025-01-01,2025-12-31,3.498077354651832,0.5096213366103608,0.14568612553197358,1.7498509578075683,0.5070753265279202,0.9959016393442623,2.301922645348168
"(60, 120)",1,20,0.0,60,0.06,2024-12-01,2026-01-31,3.446933323578057,0.34628105449463376,0.10046061875521861,1.3779398265385467,0.41525524002445047,1.1680327868852458,2.353066676421943
"(60, 120)",1,20,0.03,60,0.06,2024-12-01,2026-01-31,3.446933323578057,0.34628105449463376,0.10046061875521861,1.3779398265385467,0.41525524002445047,1.1680327868852458,2.353066676421943
"(60, 120)",1,10,0.0,20,0.1,2025-01-01,2026-01-31,3.3520312135265224,0.523885233492744,0.1562888887724848,1.5450613350723201,0.574702595612492,1.0778688524590163,2.4479687864734774
"(60, 120)",1,10,0.03,20,0.1,2025-01-01,2026-01-31,3.3520312135265224,0.523885233492744,0.1562888887724848,1.5450613350723201,0.574702595612492,1.0778688524590163,2.4479687864734774
"(60, 120)",1,20,0.0,20,0.06,2025-01-01,2025-12-31,3.3503127607725807,0.3365744929707204,0.10046061875521928,1.4241620163116655,0.3349862831650974,0.9959016393442623,2.449687239227419
"(60, 120)",1,20,0.03,20,0.06,2025-01-01,2025-12-31,3.3503127607725807,0.3365744929707204,0.10046061875521928,1.4241620163116655,0.3349862831650974,0.9959016393442623,2.449687239227419
"(60, 120)",1,10,0.0,60,0.1,2025-01-01,2026-01-31,3.3082443145747935,0.6161191780530602,0.18623750831783703,1.7073408376264216,0.6776716555129623,1.0778688524590163,2.4917556854252063
"(60, 120)",1,10,0.03,60,0.1,2025-01-01,2026-01-31,3.3082443145747935,0.6161191780530602,0.18623750831783703,1.7073408376264216,0.6776716555129623,1.0778688524590163,2.4917556854252063
"(60, 120)",1,20,0.0,20,0.06,2024-12-01,2026-01-31,3.2995208027020206,0.3314719014351606,0.10046061875521861,1.3370789237884855,0.39708831150683555,1.1680327868852458,2.500479197297979
"(60, 120)",1,20,0.03,20,0.06,2024-12-01,2026-01-31,3.2995208027020206,0.3314719014351606,0.10046061875521861,1.3370789237884855,0.39708831150683555,1.1680327868852458,2.500479197297979
