date,nav,ret,drawdown,nav_csi300
2022-01-04,1.0,0.0,0.0,0.9964057507987221
2022-01-05,0.9793372179060302,-0.02066278209396971,-0.020662782093969767,0.9870207667731629
2022-01-06,0.9523439700649352,-0.027562771380026385,-0.04765602993506479,0.9758386581469648
2022-01-07,0.9591847246548016,0.007183071248301198,-0.040815275345198354,0.97823482428115
2022-01-10,0.950680002732265,-0.008866615265998301,-0.04931999726773495,0.9808306709265173
2022-01-11,0.9430997071056562,-0.007973551147413493,-0.05690029289434384,0.9718450479233224
2022-01-12,0.9599242656915441,0.01783963928641441,-0.0400757343084559,0.9822284345047919
2022-01-13,0.9599242656915441,0.0,-0.0400757343084559,0.9660543130990412
2022-01-14,0.9599242656915441,0.0,-0.0400757343084559,0.9572683706070284
2022-01-17,0.9589785274987447,-0.0009852216748766907,-0.04102147250125532,0.965455271565495
2022-01-18,0.9533040983419473,-0.00591715976331364,-0.04669590165805271,0.974640575079872
2022-01-19,0.951300031941768,-0.002102232019840166,-0.04869996805823196,0.954472843450479
2022-01-20,0.9641589840976705,0.013517241379310319,-0.035841015902329465,0.9620607028753991
2022-01-21,0.9636341289076337,-0.0005443658138268859,-0.03636587109236633,0.9552715654952075
2022-01-24,0.9610098529574495,-0.002723311546841023,-0.03899014704255055,0.9556709265175718
2022-01-25,0.9633717013126153,0.0024576734025123503,-0.03662829868738471,0.9345047923322684
2022-01-26,0.9641589840976706,0.0008172160174340082,-0.035841015902329354,0.9396964856230033
2022-01-27,0.9463139076364181,-0.01850843767011434,-0.053686092363581905,0.9235223642172524
2022-01-28,0.9431647764961971,-0.0033277870216306127,-0.05683522350380288,0.9093450479233228
2022-02-07,0.949987893966676,0.0072342793544797335,-0.050012106033323955,0.9237220447284346
2022-02-08,0.9554988734620627,0.005801104972375626,-0.04450112653793725,0.9193290734824281
2022-02-09,0.9565388473490506,0.0010884093282282912,-0.04346115265094941,0.9271166134185301
2022-02-10,0.9701609705659007,0.014241055922195267,-0.02983902943409933,0.9249201277955269
2022-02-11,0.971157711289085,0.001027397260274121,-0.028842288710914987,0.917731629392971
2022-02-14,0.9558743535335947,-0.015737256243585462,-0.044125646466405266,0.9079472843450477
2022-02-15,0.949561662286762,-0.006604101494612324,-0.050438337713238024,0.9163338658146964
2022-02-16,0.9591968226108752,0.010146955913225897,-0.040803177389124756,0.9205271565495207
2022-02-17,0.9545453659026826,-0.004849324558365065,-0.045454634097317426,0.9225239616613418
2022-02-18,0.9721544520122691,0.01844761573268361,-0.027845547987730868,0.9273162939297124
2022-02-21,0.9807928716131983,0.008885850991114053,-0.01920712838680172,0.9239217252396165
2022-02-22,0.9771381556281896,-0.0037262872628727184,-0.02286184437181038,0.91194089456869
2022-02-23,0.9687058723756874,-0.008629571165482908,-0.031294127624312607,0.9215255591054313
2022-02-24,0.9895078807697573,0.02147401908801716,-0.010492119230242736,0.9045527156549521
